Date,rGoog,rGoog_ex,rf,rM_ex,rSmB,rHmL
2009-01-30,0.10037377998830421,0.10037377998830421,0,-0.0812,7.000000000000001e-4,-0.11289999999999999
2009-02-27,-0.0015950622215402666,-0.0016950622215402666,1e-4,-0.10099999999999999,5e-4,-0.0695
2009-03-31,0.029793671970375746,0.029593671970375747,2e-4,0.0895,3e-4,0.0347
2009-04-30,0.13764876849779561,0.13754876849779563,1e-4,0.1018,0.054000000000000006,0.0536
2009-05-29,0.05369090973247159,0.05369090973247159,0,0.0521,-0.0252,0.0028000000000000004
2009-06-30,0.010449874944655768,0.010349874944655769,1e-4,0.0043,0.0263,-0.0273
2009-07-31,0.05090257582764535,0.050802575827645344,1e-4,0.07719999999999999,0.0187,0.0483
2009-08-31,0.04202679338233484,0.041926793382334834,1e-4,0.0333,-0.0108,0.07629999999999999
2009-09-30,0.07403556069625572,0.07393556069625572,1e-4,0.0408,0.024300000000000002,0.0105
2009-10-30,0.08121411577155846,0.08121411577155846,0,-0.0259,-0.0435,-0.0421
2009-11-30,0.08744307437682308,0.08744307437682308,0,0.0556,-0.024,-0.0034000000000000002
2009-12-31,0.06343055470331649,0.06333055470331649,1e-4,0.0275,0.0605,-0.0017000000000000001
2010-01-29,-0.14523047806962752,-0.14523047806962752,0,-0.0336,0.004,0.0043
2010-02-26,-0.005925209487032568,-0.005925209487032568,0,0.034,0.011899999999999999,0.0323
2010-03-31,0.07653759444912756,0.07643759444912755,1e-4,0.06309999999999999,0.0148,0.022099999999999998
2010-04-30,-0.07303567504440345,-0.07313567504440345,1e-4,0.02,0.0487,0.028900000000000002
2010-05-28,-0.07622223768375913,-0.07632223768375913,1e-4,-0.0789,9e-4,-0.024399999999999998
2010-06-30,-0.08376745796112972,-0.08386745796112972,1e-4,-0.0557,-0.0182,-0.047
2010-07-30,0.08967299034461629,0.08957299034461629,1e-4,0.0693,0.002,-0.0031
2010-08-31,-0.07183661855851775,-0.07193661855851775,1e-4,-0.04769999999999999,-0.03,-0.019
2010-09-30,0.16837025654129256,0.16827025654129257,1e-4,0.09539999999999998,0.039599999999999996,-0.0316
2010-10-29,0.16719602763174146,0.16709602763174147,1e-4,0.0388,0.011399999999999999,-0.024300000000000002
2010-11-30,-0.09449240693959848,-0.09459240693959849,1e-4,0.006,0.0377,-0.0096
2010-12-31,0.06884884629009269,0.06874884629009269,1e-4,0.0682,0.0073,0.037000000000000005
2011-01-31,0.010758156170703748,0.010658156170703748,1e-4,0.0199,-0.025,0.0083
2011-02-28,0.021720258199166453,0.021620258199166454,1e-4,0.0349,0.015300000000000001,0.0127
2011-03-31,-0.043430063422359444,-0.04353006342235945,1e-4,0.0046,0.0254,-0.0183
2011-04-29,-0.0727043150158797,-0.0727043150158797,0,0.028999999999999998,-0.0038,-0.024300000000000002
2011-05-31,-0.027715479343743077,-0.027715479343743077,0,-0.0127,-0.0059,-0.0212
2011-06-30,-0.04279615695463457,-0.04279615695463457,0,-0.0175,-0.0012,-0.0042
2011-07-29,0.1921679804976537,0.1921679804976537,0,-0.0235,-0.0126,-0.009000000000000001
2011-08-31,-0.10391096185048421,-0.10401096185048421,1e-4,-0.0599,-0.0305,-0.0236
2011-09-30,-0.04791480282254834,-0.04791480282254834,0,-0.0759,-0.0331,-0.0172
2011-10-31,0.1506678636392904,0.1506678636392904,0,0.11349999999999999,0.032799999999999996,0.001
2011-11-30,0.01138972457421139,0.01138972457421139,0,-0.0028000000000000004,-0.0016,-0.0046
2011-12-30,0.07759548946790273,0.07759548946790273,0,0.0074,-0.0059,0.0163
2012-01-31,-0.10185781242229841,-0.10185781242229841,0,0.050499999999999996,0.0204,-0.0097
2012-02-29,0.06574619411038851,0.06574619411038851,0,0.044199999999999996,-0.018500000000000003,0.0043
2012-03-30,0.03718555527334977,0.03718555527334977,0,0.0311,-0.0064,0.011399999999999999
2012-04-30,-0.05674943848703051,-0.05674943848703051,0,-0.0085,-0.0042,-0.0078000000000000005
2012-05-31,-0.03966270207808498,-0.03976270207808498,1e-4,-0.061900000000000004,7.000000000000001e-4,-0.010700000000000001
2012-06-29,-0.0013600351635032482,-0.0013600351635032482,0,0.038900000000000004,0.0067,0.0062
2012-07-31,0.09119585769176708,0.09119585769176708,0,0.0079,-0.0274,-2e-4
2012-08-31,0.08234202283288261,0.08224202283288261,1e-4,0.0255,0.004699999999999999,0.013000000000000001
2012-09-28,0.10131514473788839,0.10121514473788838,1e-4,0.0273,0.005,0.016
2012-10-31,-0.09834322075229307,-0.09844322075229307,1e-4,-0.0176,-0.0115,0.0359
2012-11-30,0.026561746875337633,0.026461746875337634,1e-4,0.0078000000000000005,0.0063,-0.0084
2012-12-31,0.012901478453584136,0.012801478453584137,1e-4,0.0118,0.0148,0.0351
2013-01-31,0.06829421319522666,0.06829421319522666,0,0.0557,0.0033,0.0096
2013-02-28,0.06022309035724227,0.06022309035724227,0,0.0129,-0.0027,0.0011
2013-03-28,-0.008749347663832174,-0.008749347663832174,0,0.0403,0.008100000000000001,-0.0019
2013-04-30,0.03825282004743347,0.03825282004743347,0,0.0155,-0.023700000000000002,0.0045000000000000005
2013-05-31,0.05657489741455923,0.05657489741455923,0,0.027999999999999997,0.017,0.0263
2013-06-28,0.010502523945045805,0.010502523945045805,0,-0.012,0.013300000000000001,3e-4
2013-07-31,0.008382837991831371,0.008382837991831371,0,0.0565,0.0187,0.005699999999999999
2013-08-30,-0.04601514585223043,-0.04601514585223043,0,-0.0271,0.0027,-0.0269
