Date,Close
22-Jul-99,1360.97
23-Jul-99,1356.94
26-Jul-99,1347.76
27-Jul-99,1362.84
28-Jul-99,1365.40
29-Jul-99,1341.03
30-Jul-99,1328.72
02-Aug-99,1328.05
03-Aug-99,1322.18
04-Aug-99,1305.33
05-Aug-99,1313.71
06-Aug-99,1300.29
09-Aug-99,1297.80
10-Aug-99,1281.43
11-Aug-99,1301.93
12-Aug-99,1298.16
13-Aug-99,1327.68
16-Aug-99,1330.77
17-Aug-99,1344.16
18-Aug-99,1332.84
19-Aug-99,1323.59
20-Aug-99,1336.61
23-Aug-99,1360.22
24-Aug-99,1363.50
25-Aug-99,1381.79
26-Aug-99,1362.01
27-Aug-99,1348.27
30-Aug-99,1324.02
31-Aug-99,1320.41
01-Sep-99,1331.07
02-Sep-99,1319.11
03-Sep-99,1357.24
07-Sep-99,1350.45
08-Sep-99,1344.15
09-Sep-99,1347.66
10-Sep-99,1351.66
13-Sep-99,1344.13
14-Sep-99,1336.29
15-Sep-99,1317.97
16-Sep-99,1318.48
17-Sep-99,1335.42
20-Sep-99,1335.53
21-Sep-99,1307.58
22-Sep-99,1310.51
23-Sep-99,1280.41
24-Sep-99,1277.36
27-Sep-99,1283.31
28-Sep-99,1282.20
29-Sep-99,1268.37
30-Sep-99,1282.71
01-Oct-99,1282.81
04-Oct-99,1304.60
05-Oct-99,1301.35
06-Oct-99,1325.40
07-Oct-99,1317.64
08-Oct-99,1336.02
11-Oct-99,1335.21
12-Oct-99,1313.04
13-Oct-99,1285.55
14-Oct-99,1283.42
15-Oct-99,1247.41
18-Oct-99,1254.13
19-Oct-99,1261.32
20-Oct-99,1289.43
21-Oct-99,1283.61
22-Oct-99,1301.65
25-Oct-99,1293.63
26-Oct-99,1281.91
27-Oct-99,1296.71
28-Oct-99,1342.44
29-Oct-99,1362.93
01-Nov-99,1354.12
02-Nov-99,1347.74
03-Nov-99,1354.93
04-Nov-99,1362.64
05-Nov-99,1370.23
08-Nov-99,1377.01
09-Nov-99,1365.28
10-Nov-99,1373.46
11-Nov-99,1381.46
12-Nov-99,1396.06
15-Nov-99,1394.39
16-Nov-99,1420.07
17-Nov-99,1410.71
18-Nov-99,1424.94
19-Nov-99,1422.00
22-Nov-99,1420.94
23-Nov-99,1404.64
24-Nov-99,1417.08
26-Nov-99,1416.62
29-Nov-99,1407.83
30-Nov-99,1389.07
01-Dec-99,1397.72
02-Dec-99,1409.04
03-Dec-99,1433.30
06-Dec-99,1423.33
07-Dec-99,1409.17
08-Dec-99,1403.88
09-Dec-99,1408.11
10-Dec-99,1417.04
13-Dec-99,1415.22
14-Dec-99,1403.17
15-Dec-99,1413.33
16-Dec-99,1418.78
17-Dec-99,1421.03
20-Dec-99,1418.09
21-Dec-99,1433.43
22-Dec-99,1435.99
23-Dec-99,1458.34
27-Dec-99,1457.10
28-Dec-99,1457.66
29-Dec-99,1463.46
30-Dec-99,1464.47
31-Dec-99,1469.25
03-Jan-00,1455.22
04-Jan-00,1399.42
05-Jan-00,1402.11
06-Jan-00,1403.45
07-Jan-00,1441.47
10-Jan-00,1457.60
11-Jan-00,1438.56
12-Jan-00,1432.25
13-Jan-00,1449.68
