Date,rBH,rM_ex,rSmB,rHmL,rf
1980-04-30,0.05769230769230771,0.0397,0.0105,0.0106,0.0126
1980-05-30,0.16363636363636358,0.0526,0.0213,0.0038,0.008100000000000001
1980-06-30,-0.046875,0.030600000000000002,0.0166,-0.0076,0.0060999999999999995
1980-07-31,0.11475409836065564,0.0649,0.0414,-0.0641,0.0053
1980-08-29,0.11764705882352944,0.018000000000000002,0.0392,-0.026000000000000002,0.0064
1980-09-30,0.013157894736842035,0.0219,0.0098,-0.045899999999999996,0.0075
1980-10-31,0.09090909090909083,0.0106,0.024700000000000003,-0.0276,0.0095
1980-11-28,0.023809523809523725,0.0959,-0.0336,-0.0833,0.0096
1980-12-31,-0.011627906976744207,-0.0452,-0.0026,0.0279,0.0131
1981-01-30,0.0117647058823529,-0.0504,0.0292,0.0672,0.0104
1981-02-27,0.12790697674418605,0.005699999999999999,-0.0034000000000000002,0.0102,0.010700000000000001
1981-03-31,-0.010309278350515427,0.0356,0.0354,0.0064,0.0121
1981-04-30,0.07291666666666674,-0.021099999999999997,0.044000000000000004,0.022799999999999997,0.0108
1981-05-29,0.009708737864077666,0.0011,0.02,-0.0042,0.0115
1981-06-30,-0.019230769230769273,-0.0236,-0.0083,0.0513,0.013500000000000002
1981-07-31,-0.0490196078431373,-0.0154,-0.0219,-0.005,0.0124
1981-08-31,0.030927835051546282,-0.0704,-0.0195,0.047599999999999996,0.0128
1981-09-30,-0.07999999999999996,-0.0717,-0.0265,0.051699999999999996,0.0124
1981-10-30,0.09782608695652173,0.0492,0.0223,-0.0421,0.0121
1981-11-30,0.13861386138613851,0.0336,-0.0103,0.0183,0.010700000000000001
1981-12-31,-0.02608695652173909,-0.0365,0.012,0.008100000000000001,0.0087
1982-01-29,-0.0892857142857143,-0.032400000000000005,-0.0128,0.0319,0.008
1982-02-26,0.009803921568627416,-0.058600000000000006,0.0044,0.0605,0.0092
1982-03-31,-0.06796116504854366,-0.0187,-0.0021,0.0381,0.0098
1982-04-30,0.0625,0.0327,0.0147,-0.027000000000000003,0.0113
1982-05-28,-0.009803921568627416,-0.039900000000000005,0.0052,0.0175,0.0106
1982-06-30,-0.01980198019801982,-0.030899999999999997,-0.004,0.015300000000000001,0.0096
1982-07-30,-0.04040404040404044,-0.0319,0.0083,9e-4,0.0105
1982-08-31,0.021052631578947434,0.1114,-0.0414,0.0095,0.0076
1982-09-30,0.134020618556701,0.0129,0.029500000000000002,0.0028000000000000004,0.0051
1982-10-29,0.10909090909090913,0.113,0.023399999999999997,-0.0366,0.0059
1982-11-30,0.13114754098360648,0.0467,0.0467,-0.0187,0.0063
1982-12-31,0.12318840579710155,0.0055000000000000005,-0.0022,-2e-4,0.0067
1983-01-31,-0.012903225806451646,0.036000000000000004,0.0273,-0.0075,0.0069
1983-02-28,0.08496732026143783,0.0259,0.0327,0.006999999999999999,0.0062
1983-03-31,0.16265060240963858,0.0282,0.0173,0.0202,0.0063
1983-04-29,0.010362694300518172,0.0667,0.005,0.0049,0.0070999999999999995
1983-05-31,0.01025641025641022,0.0052,0.062400000000000004,-0.013999999999999999,0.0069
1983-06-30,-0.07614213197969544,0.030699999999999998,0.0095,-0.039,0.0067
1983-07-29,0.04395604395604402,-0.0407,0.015,0.0562,0.0074
1983-08-31,0.0736842105263158,-0.005,-0.042800000000000005,0.0554,0.0076
1983-09-30,0.21568627450980382,0.0091,0.0060999999999999995,0.0101,0.0076
1983-10-31,0.056451612903225756,-0.0344,-0.035699999999999996,0.049699999999999994,0.0076
1983-11-30,0.03053435114503822,0.0216,0.020099999999999996,-0.0072,0.006999999999999999
1983-12-30,-0.029629629629629672,-0.0178,-0.0027,0.0173,0.0073
1984-01-31,0.011450381679389388,-0.0192,-0.0038,0.0758,0.0076
1984-02-29,-0.03396226415094339,-0.0482,-0.0169,0.0333,0.0070999999999999995
1984-03-30,-0.03125,0.0063,7.000000000000001e-4,0.0046,0.0073
1984-04-30,0.008064516129032251,-0.0051,-0.0116,0.012,0.008100000000000001
1984-05-31,0.03200000000000003,-0.059699999999999996,6e-4,0.0031,0.0078000000000000005
1984-06-29,-0.023255813953488413,0.0182,-0.003,-0.026600000000000002,0.0075
1984-07-31,-0.015873015873015928,-0.0274,-0.022099999999999998,0.0036,0.008199999999999999
1984-08-31,0.040322580645161255,0.10279999999999999,-0.0024,-0.0182,0.0083
1984-09-28,0.011627906976744207,-0.008,0.0017000000000000001,0.0528,0.0086
1984-10-31,-0.003831417624521105,-0.0084,-0.0123,0.0045000000000000005,0.01
1984-11-30,-0.01538461538461533,-0.0176,-0.006500000000000001,0.0406,0.0073
1984-12-31,-0.00390625,0.0184,-0.005600000000000001,-0.0026,0.0064
1985-01-31,0.09411764705882364,0.0799,0.0331,-0.0535,0.006500000000000001
1985-02-28,0.06810035842293916,0.012199999999999999,0.0079,-0.001,0.0058
1985-03-29,0.21812080536912748,-0.0084,-0.0108,0.0407,0.0062
1985-04-30,0.019283746556473913,-0.0096,0.0014000000000000002,0.037200000000000004,0.0072
1985-05-31,0.00540540540540535,0.0509,-0.0222,-0.0096,0.0066
1985-06-28,0.15591397849462374,0.0127,0.0052,0.0038,0.0055000000000000005
1985-07-31,-0.018604651162790753,-0.0074,0.028399999999999998,-0.016200000000000003,0.0062
